Adresse	Gewicht	Anschluss	Anz_Knoten	Anz_Kanten	Anz_Nullkanten	Anz_Multikanten	Anz_Subkanten	Dist_laengste_Kante
R	13282	selbst	146	836	0	18	42	45364
R.0	166	selbst	3	8	0	0	0	9523
R.38	153	selbst	3	8	0	0	0	10513
R.76	200	selbst	3	8	0	0	0	14446
R.114	185	selbst	3	8	0	0	0	14446
R.152	145	selbst	3	8	0	0	0	12559
R.191	138	selbst	3	8	0	0	0	12559
R.230	122	selbst	3	8	0	0	0	10602
R.231	141	selbst	4	12	0	0	0	8328
R.270	159	selbst	3	8	0	0	0	16025
R.271	262	selbst	3	8	0	0	0	18275
R.348	171	selbst	3	8	0	0	0	18275
R.387	189	selbst	4	12	0	0	0	12587
R.464	256	selbst	4	12	0	0	0	12587
R.502	168	selbst	3	8	0	0	0	13952
R.504	627	selbst	3	12	0	0	0	39929
R.582	684	selbst	3	16	0	0	0	39929
R.633	153	selbst	3	12	0	0	0	9023
R.634	111	selbst	4	14	0	0	0	8643
R.635	44	selbst	2	4	0	0	0	8643
R.655	17	selbst	2	2	0	0	0	6916
R.659	360	selbst	3	16	0	0	0	26923
R.671	130	selbst	3	12	0	0	0	9023
R.694	43	selbst	3	4	0	0	0	15480
R.709	169	selbst	4	18	0	0	0	8621
R.733	54	selbst	4	6	0	0	0	15480
R.735	383	selbst	3	16	0	0	0	26923
R.746	167	selbst	3	12	0	0	0	14855
R.747	119	selbst	3	12	0	0	0	10803
R.771	29	selbst	3	4	0	0	0	8852
R.783	268	selbst	3	12	0	0	0	26138
R.810	49	selbst	3	4	0	0	0	13191
R.813	341	selbst	3	16	0	0	0	23641
R.848	64	selbst	4	6	0	0	0	13191
R.887	41	selbst	4	6	0	0	0	8500
R.890	301	selbst	3	16	0	0	0	21826
R.897	224	selbst	3	12	0	0	0	26138
R.925	32	selbst	3	4	0	0	0	11804
R.929	204	selbst	3	16	0	0	0	14856
R.930	154	selbst	3	16	0	0	0	9282
R.935	98	selbst	3	12	0	0	0	11828
R.964	62	selbst	3	4	0	0	0	13723
R.968	164	selbst	3	16	0	0	0	9282
R.973	242	selbst	4	18	0	0	0	12097
R.1002	94	selbst	3	4	0	0	0	16531
R.1006	167	selbst	3	16	0	0	0	7673
R.1007	60	selbst	3	4	0	0	0	7122
R.1008	49	selbst	3	4	0	0	0	4460
R.1010	461	selbst	4	20	0	0	0	45194
R.1014	336	selbst	3	8	0	0	0	45194
R.1025	105	selbst	2	4	0	0	0	19612
R.1043	40	selbst	3	4	0	0	0	4805
R.1044	239	selbst	8	24	0	0	0	7673
R.1045	616	selbst	8	32	0	0	0	34333
R.1046	221	selbst	3	20	0	0	0	10500
R.1047	190	selbst	3	20	0	0	0	5890
R.1048	197	selbst	3	20	0	0	0	8784
R.1055	228	selbst	3	8	0	0	0	30765
R.1058	148	selbst	3	8	0	0	0	30765
R.1060	60	selbst	3	8	0	0	0	18364
R.1062	131	selbst	3	8	0	0	0	19612
R.1079	283	selbst	6	22	0	0	0	16531
R.1080	244	selbst	5	22	0	0	0	10722
R.1081	444	selbst	6	26	0	0	0	12736
R.1082	3210	selbst	9	216	0	0	0	12736
R.1083	2908	selbst	9	186	0	0	0	34333
R.1084	205	selbst	3	20	0	0	0	10500
R.1115	246	selbst	3	12	0	0	0	14065
R.1116	261	selbst	4	16	0	0	0	14562
R.1117	187	selbst	3	14	0	0	0	8354
R.1119	537	selbst	4	30	0	0	0	10179
R.1120	1512	selbst	6	102	0	0	0	14982
R.1124	464	selbst	4	18	0	0	0	34333
R.1125	123	selbst	3	8	0	0	0	31449
R.1149	91	selbst	3	8	0	0	0	20324
R.1151	225	selbst	4	14	0	0	0	20324
R.1154	81	selbst	3	4	0	0	0	14562
R.1155	109	selbst	6	10	0	0	0	4434
R.1156	109	selbst	7	12	0	0	0	3841
R.1157	200	selbst	6	18	0	0	0	8751
R.1166	121	selbst	3	8	0	0	0	31449
R.1181	326	selbst	3	8	0	0	0	45364
R.1184	219	selbst	3	8	0	0	0	37863
R.1186	76	selbst	3	8	0	0	0	14669
R.1192	87	selbst	3	4	0	0	0	13543
R.1193	47	selbst	2	2	0	0	0	4434
R.1196	200	selbst	5	16	0	0	0	11647
R.1197	50	selbst	4	6	0	0	0	8535
R.1198	28	selbst	3	4	0	0	0	4552
R.1204	118	selbst	3	10	0	0	0	23401
R.1234	100	selbst	3	8	0	0	0	11647
R.1236	50	selbst	4	6	0	0	0	7939
R.1244	99	selbst	3	10	0	0	0	23401
R.1268	113	selbst	4	6	0	0	0	14225
R.1272	85	selbst	3	8	0	0	0	12045
R.1274	69	selbst	4	6	0	0	0	10311
R.1283	66	selbst	3	8	0	0	0	11334
R.1284	89	selbst	3	8	0	0	0	9940
R.1292	275	selbst	3	8	0	0	0	45364
R.1306	87	selbst	3	4	0	0	0	14225
R.1310	76	selbst	3	8	0	0	0	12045
R.1312	57	selbst	4	6	0	0	0	10311
R.1323	206	selbst	4	12	0	0	0	14475
R.1344	63	selbst	3	4	0	0	0	8522
R.1347	77	selbst	3	8	0	0	0	11376
R.1350	31	selbst	4	6	0	0	0	7809
R.1361	313	selbst	3	8	0	0	0	20167
R.1382	29	selbst	2	2	0	0	0	7612
R.1384	68	selbst	3	8	0	0	0	11376
R.1388	9	selbst	2	2	0	0	0	3701
R.1407	200	selbst	3	8	0	0	0	32838
R.1437	205	selbst	2	4	0	0	0	20167
R.1444	174	selbst	4	12	0	0	0	14772
